year,rrr24
1990,268.51
1991,276.08
1992,405.62
1993,395.83
1994,325.61
1995,222.32
1996,245.66
1997,374.89
1998,325.71000000000004
1999,259.49
2000,302.88
2001,221.85
2002,251.92000000000002
2003,277.18
2004,343.32
2005,280.58
2006,216.55
2007,306.0
2008,233.56
2009,241.62
2010,229.26
2011,274.86
2012,282.33
2013,272.41
2014,260.91
2015,299.28
2016,250.68
2017,181.86
2018,271.67
2019,272.37
2020,324.44
2021,155.39
2022,251.77
2023,241.89
2024,125.11999999999999
