Station,Timescale,Model,STD_Obs,STD_Pred,Corr,RMSE,MAE,SMAPE,Score,Best_Model,Best_RMSE,Winner
40700,1,ExtraTF,0.82,0.71,0.84,0.45,0.34,86.09,0.45,False,False,
40700,1,RandomRF,0.82,0.67,0.82,0.47,0.35,77.02,0.47,False,False,
40700,1,SVR,0.82,0.66,0.84,0.45,0.32,70.36,0.45,True,True,✔
40700,1,LSTM,0.82,0.79,0.8,0.51,0.4,90.8,0.51,False,False,
40700,1,WBBLSTM,0.82,0.27,0.24,0.8,0.64,151.25,0.8,False,False,
40700,3,ExtraTF,0.85,0.65,0.45,0.85,0.62,127.3,0.85,False,False,
40700,3,RandomRF,0.85,0.47,0.7,0.62,0.39,99.44,0.62,False,False,
40700,3,SVR,0.85,0.36,0.68,0.67,0.42,101.98,0.67,False,False,
40700,3,LSTM,0.85,0.71,0.77,0.56,0.39,93.63,0.56,True,True,✔
40700,3,WBBLSTM,0.85,0.5,0.28,0.9,0.63,133.31,0.9,False,False,
40700,9,ExtraTF,0.81,0.44,0.55,0.69,0.52,97.36,0.69,False,False,
40700,9,RandomRF,0.81,0.49,0.86,0.47,0.35,67.43,0.47,False,False,
40700,9,SVR,0.81,0.46,0.86,0.55,0.41,88.3,0.55,False,False,
40700,9,LSTM,0.81,0.69,0.9,0.36,0.28,63.66,0.36,True,True,✔
40700,9,WBBLSTM,0.81,0.63,0.82,0.48,0.35,69.14,0.48,False,False,
40700,12,ExtraTF,0.75,0.36,0.71,0.59,0.47,80.09,0.59,False,False,
40700,12,RandomRF,0.75,0.49,0.91,0.36,0.26,56.02,0.36,False,False,
40700,12,SVR,0.75,0.41,0.79,0.58,0.42,76.19,0.58,False,False,
40700,12,LSTM,0.75,0.64,0.93,0.28,0.22,47.96,0.28,True,True,✔
40700,12,WBBLSTM,0.75,0.49,0.76,0.53,0.39,75.15,0.53,False,False,
40700,24,ExtraTF,0.61,0.18,0.37,0.87,0.67,109.67,0.87,False,False,
40700,24,RandomRF,0.61,0.29,0.75,0.48,0.31,41.6,0.48,False,False,
40700,24,SVR,0.61,0.36,0.82,0.48,0.36,54.65,0.48,False,False,
40700,24,LSTM,0.61,0.48,0.88,0.31,0.23,39.03,0.31,True,True,✔
40700,24,WBBLSTM,0.61,0.49,0.79,0.39,0.31,50.38,0.39,False,False,
